K,rep,n_obs,method,acc,brier,ece,mi
16,2,32,GPP-cosine,0.3305,0.8388974635616295,0.09440253931283951,0.14709573984146118
16,2,32,GPP-rbf,0.347,0.7859377617348632,0.16095224120467902,0.7179073691368103
16,2,32,LPE,0.3515,0.8558938563290327,0.10012345750629899,0.3785174787044525
16,2,32,LP,0.36,0.8385708957415451,0.1327899898264652,
16,2,32,SVM,0.1435,0.9642416367164796,0.060737861886951156,
16,2,128,GPP-cosine,0.57,0.6210335036984267,0.15338871033489707,0.04689748212695122
16,2,128,GPP-rbf,0.8105,0.3339690241543106,0.22630094837769868,0.2499423772096634
16,2,128,LPE,0.658,0.5139326230630263,0.16339927256107326,0.18828921020030975
16,2,128,LP,0.677,0.48840328545865497,0.139052333196296,
16,2,128,SVM,0.7485,0.5731394602418076,0.40118871007649304,
16,2,512,GPP-cosine,0.697,0.5207572247438745,0.2513578545600175,0.012468711473047733
16,2,512,GPP-rbf,0.99,0.07250121832542356,0.20090331980586051,0.05954810231924057
16,2,512,LPE,0.8905,0.2329677982811005,0.22309667783230538,0.043955542147159576
16,2,512,LP,0.909,0.2152787516066016,0.22352852274715151,
16,2,512,SVM,0.982,0.12279716134519646,0.250598179599423,
16,3,32,GPP-cosine,0.3945,0.7953053024172143,0.04781728202104568,0.14530926942825317
16,3,32,GPP-rbf,0.4355,0.736543900994074,0.21154929164424532,0.6871343851089478
16,3,32,LPE,0.458,0.7773943965206717,0.10659559872001408,0.39534351229667664
16,3,32,LP,0.43,0.7698871888288544,0.06609932524748516,
16,3,32,SVM,0.1645,0.9464005570427539,0.04567621733911463,
16,3,128,GPP-cosine,0.6055,0.6024298271245873,0.22533246862143283,0.04369846358895302
16,3,128,GPP-rbf,0.839,0.3126198488838446,0.25896639231219887,0.2500103712081909
16,3,128,LPE,0.72,0.4784181344282564,0.2340181837901473,0.19804175198078156
16,3,128,LP,0.739,0.4388197055554701,0.21376057355280803,
16,3,128,SVM,0.7365,0.5699937897551909,0.4050519483006885,
16,3,512,GPP-cosine,0.666,0.518741193418746,0.24292519002407786,0.012439685873687267
16,3,512,GPP-rbf,0.9805,0.08044231974649392,0.19412358674407004,0.06620518863201141
16,3,512,LPE,0.904,0.22990707135276695,0.2318421384692192,0.04021332412958145
16,3,512,LP,0.908,0.21476475230347883,0.21583438680458464,
16,3,512,SVM,0.9665,0.12545836950797548,0.22369584543484136,
16,4,32,GPP-cosine,0.355,0.8182536103213435,0.09540664054453372,0.1393512636423111
16,4,32,GPP-rbf,0.429,0.6995495760910398,0.08647998124361037,0.5187443494796753
16,4,32,LPE,0.4065,0.8139032301181158,0.06337692375481128,0.3551391661167145
16,4,32,LP,0.4015,0.821861847721558,0.1208055055447119,
16,4,32,SVM,0.236,0.927249799637606,0.06206197348164112,
16,4,128,GPP-cosine,0.601,0.5976845921250693,0.17302634670585393,0.04456726834177971
16,4,128,GPP-rbf,0.7655,0.3414180098306149,0.20059727454185486,0.24615298211574554
16,4,128,LPE,0.6655,0.5218754838966215,0.1444684459120035,0.18173135817050934
16,4,128,LP,0.701,0.4786379661773337,0.1293035213344434,
16,4,128,SVM,0.756,0.5461147203679575,0.3894734212314792,
16,4,512,GPP-cosine,0.7275,0.4986341804527759,0.2980347577333451,0.012472988106310368
16,4,512,GPP-rbf,0.994,0.07121230239724052,0.20574417935311792,0.06452304124832153
16,4,512,LPE,0.905,0.22530673044522348,0.23419851867854596,0.03915981203317642
16,4,512,LP,0.909,0.21131682082493836,0.21900199146345461,
16,4,512,SVM,0.971,0.12023041532688124,0.22638372086552883,
